habitatID,habitatLevel,habitatType,habitatDetails
G3.1B624,7,Carpathian high montane [Bazzania] spruce forests,"[Picea abies] forest stands installed on wet, acid, peaty ground of the margins of bogs and marshes within the montane level of the Eastern and Southwestern Carpathians, with a mucinal layer of [Sphagnum palustre], [Sphagnum wulfianum], [Sphagnum squarrosum], [Bazzania trilobata]; regional species such as [Soldanella hungarica ssp. major], [Campanula abietina], [Valeriana simplicifolia], [Salix silesiaca], are characteristic and [Listera cordata] is sometimes present."
G3.1B625,7,Carpathian [Leucanthemum] high montane spruce forests,"[Picea abies] forests frequently installed along streamsides and inner valleys of lower montane levels of the Eastern and western Southern Carpathians, with a cortège including [Adenostyletalia] elements, in particular [Leucanthemum waldsteinii], [Athyrium distentifolium], [Stellaria nemorum]."
G3.1C,4,Inner range montane spruce forests,"[Picea abies] forests of the montane level of the inner Alps, characteristic of regions climatically unfavourable to both beech and fir. Analogous [Picea abies] forests of the montane and collinar levels of the inner basin of the Slovakian Carpathians subjected to a climate of high continentality."
G3.1C1,5,Acidophile montane inner Alpine spruce forests,"Inner Alpine [Picea abies] forests of siliceous crystalline or schistous substrates, with [Calamagrostis villosa] and woodrushes. "
G3.1C2,5,Calciphile montane inner Alpine spruce forests,"Calcicolous inner Alpine [Picea abies] forests with [Calamagrostis varia], [Carex flacca], [Sesleria caerulea], [Hieracium trifidum], [Aster bellidiastrum]. "
G3.1C3,5,Bedstraw montane inner Alpine spruce forests,"Xerophile, more or less mesotrophic inner Alpine [Picea abies] or [Picea abies]-[Abies alba] forests, often characterized by an admixture of deciduous trees, in particular [Acer pseudoplatanus], [Fraxinus excelsior], and with a species-rich herb layer comprising [Oxalis acetosella], [Galium rotundifolium], [Galium odoratum], [Anemone nemorosa], [Doronicum austriacum], [Petasites albus], [Primula elatior], [Fragaria vesca], [Cardamine trifolia], [Carex montana] and [Melica nutans]."
G3.1C4,5,Tall herb montane inner Alpine spruce forests,"Upper montane inner Alpine [Picea abies] or [Picea abies]-[Abies alba] forests with [Amelanchier ovalis], [Berberis vulgaris] and an undergrowth rich in tall herbs, usually dominated by [Adenostyles glabra]. "
G3.1C5,5,Peatmoss montane inner Alpine spruce forests,"Montane inner Alpine [Picea abies] forests of peaty soils, rich in [Sphagnum] spp. and with [Equisetum sylvaticum], [Listera cordata] and [Dryopteris dilatata]."
G3.1C6,5,Inner Carpathian spruce forests,"[Picea abies] forests of the montane and collinar levels of the inner basin of the Slovakian Carpathians, formed along the Proprad River valley between the High Tatras and the Low Tatras and subjected to a climate of high continentality. "
G3.1D,4,Hercynian subalpine spruce forests,"Subalpine [Picea abies] forests of high ranges of the central and eastern sections of the Hercynian arc, from the Harz to the Bohemian Quadrangle. "
G3.1D1,5,Subalpine spruce forests of the Bayerischer Wald,"Acidophilous [Picea abies] forest of the granitic domes of the Bayerischer Wald and the Böhmerwald, with [Abies alba], [Sorbus aucuparia], [Vaccinium myrtillus], [Homogyne alpina], [Soldanella montana], [Calamagrostis villosa]. "
G3.1D2,5,Subalpine spruce forests of the Harz and Erzgebirge,"Spruce forests of the higher elevations of the Harz (above 750 m), the Thüringer Wald and the Erzgebirge."
G3.1D3,5,Subalpine spruce forests of the Sudeten,"Spruce forests of the higher elevations of the Sudeten (Krkonose or Riesengebirge, Orlicke Hory, Jeseniky)."
G3.1E,4,Southern European Norway spruce forests,"Outlying [Picea abies] formations of the Apennines, the southern Dinarides, the Balkan Range and the Rhodope Mountains, at the southern limit of the range of the species and mostly south of its continuous range. [Pinus sylvestris] may be present, and undergrowth species may include [Vaccinium myrtillus], [Urtica dioica], [Rubus idaeus], [Bruckenthalia spiculifolia], [Poa nemoralis], [Daphne oleoides], [Calamagrostis arundinacea] and [Fragaria vesca]."
G3.1E1,5,Southeastern Moesian spruce forests,"[Picea abies] forests of the  Vitosha, Rila, Pirin and Rhodope ranges and of the Moeso-Macedonian mountains."
G3.1E11,6,Aegeo-Rhodopean spruce forests,"Very local [Picea abies] forests of the Aegean-facing southernmost ridge of the main Rhodope ranges in extreme northern Greece, constituting part of the Kara-Dere Forest. "
G3.1E12,6,Central Rhodopide spruce forests,"[Picea abies] forests of the Rhodope Mountains, forming an extensive subalpine belt on Vitosha, Rila, Pirin and the Rhodopes; the isolated forests developed on the Aegean flank of the Iztocni-Rodope are listed in unit G3.1E11."
G3.1E13,6,Moeso-Macedonian spruce forests,"[Picea abies] forests of the Moeso-Macedonian mountains, in particular, of the 
Osogovska Planina of the F.Y.R. of Macedonia and Bulgaria."
G3.1E2,5,Apennine spruce forests,"Relict woods of spontaneous [Picea abies] of the northern Apennines (Passo del Cerreto, Emilia-Romagna; Foce del Campolino sull'Abetone, Tuscany). "
G3.1E3,5,Montenegrine spruce forests,"Isolated subalpine and high montane [Picea abies] forests of the Ljubisnja range of Montenegro, developed on both siliceous and calcareous substrates, at altitudes comprised between 1150 and 1850 m on  on sunny slopes (adrets) and between 1100 and 1900 m on shaded slopes (ubacs). They are species-rich on limestones with a cortège of medio-European affinities, except for the presence of [Laserpitium marginatum]."
G3.1E4,5,Pelagonide spruce forests,"Very local subalpine [Picea abies] forests of the Pelagonides, particularly of the southern Sar Planina of the F.Y.R. of Macedonia, with smaller stands farther south in the F.Y.R. of Macedonia, and in Albania."
G3.1E5,5,Balkan Range spruce forests,Rare and local [Picea abies] forests of the western and central Balkan Range.
G3.1F,4,Enclave Norway spruce forests,"Spontaneous [Picea abies] formations occupying outlying altitudinal or edaphic enclaves within the range of more predominant vegetation types, in particular the montane levels of the outer Alps, the Carpathians, the Dinarides, the Jura, the Hercynian ranges, the subalpine levels of the Jura, the western Hercynian ranges and the Dinarides. "
G3.1F1,5,Subalpine Jura spruce forests,"Restricted [Picea abies] forests of subalpine affinities of the Jura, comprising truly subalpine formations of the Haut-Jura, well developed but of small extent because of relatively low altitude and competition with [Pinus uncinata] formations, tall herb spruce forests as well as cold station or ""ice cellar"" formations similar to those of the northern outer Alps."
G3.1F2,5,Subalpine Black Forest spruce forests,"[Picea abies] forests of the Black Forest, characteristic of the subalpine level and of edaphic enclaves and cold stations, rich in [Bazzania trilobata], with [Vaccinium myrtillus], [Listera cordata], [Lycopodium annotinum]. "
G3.1F3,5,Peri-Alpine bazzania spruce forests,"Edaphic [Picea abies] enclaves of the montane and submontane levels of the pre-Alps and the pre-Alpine plateaux rich in [Bazzania trilobata], in particular, block forests, boulder field forests, frost-pocket forests and woods on moist soils."
G3.1F4,5,Hercynio-Alpine montane spruce forests,"Spruce forests of the montane or submontane levels of the outer Alps, of the mid-Pannonic hills, of the outer Western and Northern Carpathians, of the Eastern and Southern Carpathians, of the west Ukrainian pre-Carpathic hills and plateaux, of the Jura system and of the Hercynian arc dominated by [Picea abies] with a varying admixture of [Abies alba], [Fagus sylvatica] or both. They include spruce or fir-spruce forests and spruce-dominated facies of montane or submontane beech-fir forests."
G3.1F41,6,Medio-European montane spruce forests,"Spruce and fir-spruce forests of the montane or submontane levels of the outer Alps, of the mid-Pannonic hills, of the outer Western and Northern Carpathians, of the Jura system and of the Hercynian arc, including spruce facies of fir-beech forests of the range of the [Fagion medio-europaeum]. Spruce-dominated facies of Alpine beech-fir forests of the range of the [Fagion illyricum] are listed separately in unit G3.1F42.
"
G3.1F42,6,Illyrio-Alpine montane beech spruce forests,[Picea abies]-dominated facies of montane [Fagion illyricum] beech-fir forests of the southeastern outer Alps. Spruce-dominated forests of the same region replacing the beech-fir forests in stations edaphically or microclimatically unfavourable to beech and fir have been listed in unit G3.1F41.
G3.1F43,6,Dacian beech-spruce forests,"[Picea abies]-dominated forests of the montane level of the Romanian, Ukrainian and eastern Serbian Carpathians, east of the Uz and the Stry, and of the west Ukrainian pre-Carpathic hills and plateaux, within the range of [Fagion dacicum] beech-fir forests, of which they may constitute a facies or a substitute in stations edaphically or microclimatically unfavourable to beech and fir."
G3.1F5,5,Dinaric spruce forests,"Spruce forests of the subalpine, montane or submontane levels of the Dinarides dominated by [Picea abies] with a varying admixture of [Abies alba], [Fagus sylvatica] or both. They include subalpine spruce forests, edaphic or microclimatic montane spruce or fir-spruce forests and, occasionally, spruce-dominated facies of montane or submontane [Fagion illyricum] and [Fagion moesiacum] beech-fir forests. They extend throughout the range, from the northern edge of the Dinarides in Slovenia south to the Tara, Povlen, Zlatibor, Golija, Zeljin and Kopaonik ranges, immediately to the north of the Metohija depression. "
G3.1F51,6,Illyro-Dinaric cold station spruce forests,"[Picea abies]-dominated forests of montane and subalpine block slopes and of karst-dolines of the Dinarides of Slovenia, Croatia and Bosnia-Herzegovina, within or immediately above the range of fir-beech forests of the [Fagion illyricum]."
G3.1F52,6,Dinaric dolomite spruce forests,"[Picea abies]-dominated forests of dolomite rendzina of the Dinarides of Croatia and western Bosnia-Herzegovina, within the range of fir-beech forests of the [Fagion illyricum], with a species cortège that combines raw humus species with calciphile and xerophile species."
G3.1F53,6,Dinaric acidophilous spruce forests,"[Picea abies]-dominated forests of acid soils of the montane level of the Dinarides of Slovenia, Croatia and Bosnia-Herzegovina, within or immediately above the range of fir-beech forests of the [Fagion illyricum], with a species cortège characteristic of the [Vaccinio-Piceetalia], often including many ferns."
G3.1F54,6,Moeso-Dinaric spruce forests,"Spruce forests of the southern Dinarides of Serbia, developed on both calcareous and siliceous substrates, in particular in the Tara, Povlen, Zlatibor, Golija, Zeljin and Kopaonik ranges."
G3.1G,4,Omorika spruce forests,"[Picea omorika]-dominated forests of the Drina basin of central Serbia, occuring also in Bosnia and Hercegovina. [Picea abies], [Abies alba] and mosses [Dicranum scoparium], [Ctenidium molluscum], [Eurhynchium striatum], [Hylocomium splendens], [Rhytidiadelphus triquetrus] are usually also present. Other trees and shrubs are represented by [Salix caprea], [Pinus nigra], [Rosa pendulina]. The herb layer is relatively species-poor, the most frequently occuring species being [Valeriana montana], [Vaccinium myrtillus], [Luzula sylvatica], [Hieracium transsilvanicum], [Gentiana asclepiadea], [Erica carnea], [Calamagrostis varia], [Veronica chamaedrys], [Lathyrus vernus], [Euphorbia amygdaloides]."
G3.1H,4,Oriental spruce forests,[Picea orientalis]-dominated forests of the Caucasus and of the eastern Pontic Range.
G3.1I,4,Fir reforestation,Plantations of native firs within or near their area of present or recent natural occurrence. Other plantations of these species and plantations of exotic firs are included under unit G3.F.
G3.1I1,5,[Abies alba] reforestation,Plantations of [Abies alba] within its area of occurrence or north and west of it. 
G3.1I2,5,[Abies borisii-regis] reforestation,Plantations of [Abies borisii-regis] in Greece and the southern Balkan peninsula. 
G3.1I3,5,[Abies cephalonica] reforestation,Plantations of [Abies cephalonica] in Greece. 
G3.1I4,5,[Abies pinsapo] reforestation,Plantations of [Abies pinsapo] in Andalucia. 
G3.1I5,5,[Abies nebrodensis] reforestation,Plantations of [Abies nebrodensis] in the mountains of northern Sicily. 
G3.1J,4,Norway spruce reforestation,"Plantations of [Picea abies] in or near the present or recent natural range of the species, including all Hercynian and peri-Hercynian formations accompanied by semi-natural undergrowth. Intensive, very dense and out-of-station plantations of [Picea abies] are included under unit G3.F."
G3.1K,4,"Serpentine silver fir forests
[G3.1K Serpentine [Abies alba] forests
Serpentine [Abies alba] forests","[Abies alba]- and [Picea abies]-dominated forests on serpentines, usually at altitude 1400-1600 m in the Balkan peninsula. [Erica carnea] is also relatively abundant. Other typical species are [Vaccinium myrtillus], [Festuca heterophylla], [Daphne blagayana], [Thymus montanus], [Saxifraga rotundifolia], [Valeriana montana], [Doronicum austriacum], [Campanula rotundifolia], [Luzula sylvatica], [Luzula nemorosa], [Senecio nemorensis], [Melampyrum album], [Sorbus aucuparia], [Hypericum perforatum], [Luzula maxima], [Oxalis acetosella], [Symphytum tuberosum], [Euphorbia amygdaloides], [Pyrola secunda]."
G3.2,3,Alpine larch - Arolla woodland,"Forests of the subalpine and sometimes montane levels of the Alps and the Carpathians, dominated by [Larix decidua] or [Pinus cembra]; the two species may form either pure or mixed stands, and may be associated with [Picea abies] or, in the western Alps, [Pinus uncinata]."
G3.21,4,Eastern Alpine siliceous larch and Arolla forests,"Subalpine [Larix decidua], [Pinus cembra], or [Larix decidua]-[Pinus cembra] forests of the eastern and central Alps, mostly of the inner ranges, usually on siliceous substrates, with an often species-poor undergrowth comprising [Vaccinium myrtillus], [Rhododendron ferrugineum], [Calamagrostis villosa], [Luzula albida]."
G3.22,4,Eastern Alpine calcicolous larch and Arolla forests,"Subalpine and montane [Larix decidua], [Larix decidua]-[Picea abies], [Pinus cembra] or [Larix decidua]-[Pinus cembra] forests of the eastern and central Alps, mostly of the outer ranges, on calcareous substrates, with a usually species-rich undergrowth including [Erica herbacea], [Polygala chamaebuxus], [Rhododendron hirsutum] or [Pinus mugo]."
G3.23,4,"Western larch, mountain pine and Arolla forests","Subalpine [Larix decidua], [Larix decidua]-[Pinus cembra], [Larix decidua]-mountain pine, [Pinus cembra] and [Pinus cembra]-mountain pine forests of the western, and mostly southwestern Alps, in regions where [Pinus uncinata] usually associates with [Larix decidua] and/or [Pinus cembra]. Characteristically xeric, open formations, they are best characterized by their understorey."
G3.24,4,Alpine secondary larch formations,Formations of [Larix decidua] colonizing abandoned fields and pastures in lower levels of the Alps. Alpine [Larix decidua] plantations; plantations of [Larix decidua] out of range and of other [Larix] spp. or hybrids are included under unit G3.F.
G3.25,4,Carpathian larch and Arolla forests,"Uncommon [Larix decidua] or [Pinus cembra] formations of the Carpathians, each occurring as a single dominant, together as codominants, or mixed with spruce ([Picea abies])."
G3.251,5,Western Carpathian larch and arolla forests,"Timberline silicicolous [Larix decidua] and [Pinus cembra] formations of the Tatras.
"
G3.252,5,Inner Carpathian larch and arolla forests,"[Larix decidua] and [Pinus cembra] formations of the dry, inner Carpathian Proprad basin."
G3.253,5,Eastern Carpathian larch and arolla forests,"Local mixed forests of [Pinus cembra], [Picea abies] and [Pinus mugo], of the lower subalpine level (1650-1500 m), with regional species [Rhododendron myrtifolium], [Bruckenthalia spiculifolia], [Melampyrum saxosum], [Soldanella hungarica ssp. major], [Campanula abietina]."
G3.2531,6,Eastern Carpathian larch forests,"[Larix decidua] woods on rocky calcareous substrates at the upper limit of the forest zone (1600-1750 metres) of the Southwestern Carpathians, sometimes with [Pinus cembra] and [Picea abies], and with an herb layer formed by [Saxifraga cuneifolia], [Soldanella hungarica ssp. major], [Campanula abietina], [Moneses uniflora], [Ranunculus carpaticus], [Aquilegia transsilvanica], [Hieracium rotundatum], [Tricetum fuscum]."
G3.2532,6,Eastern Carpathian arolla forests,"[Pinus cembra] and [Picea abies]-dominated formations of the subalpine level of the Eastern and Southern Carpathians, formed at the upper forest limit, with a herb layer dominated by spruce forest species and a shrub layer with [Pinus mugo] and [Juniperus nana]. "
G3.26,4,[Larix polonica] forests,"[Larix decidua ssp. polonica]-dominated facies of the white cinquefoil oak woods (units G1.7A111, G1.7A114) of Poland and the western Ukraine."
G3.3,3,Mountain pine ([Pinus uncinata]) woodland,"Mostly subalpine forests of the Alps, the Jura, the Pyrenees and the Iberian Range, dominated by [Pinus uncinata], usually open and with a very developed shrubby understory. "
G3.31,4,Rusty alpenrose mountain pine forests,"[Pinus uncinata] forests of the western outer Alps, the Jura and Pyrenean north facing  slopes (ubacs), developed on siliceous or decalcified soils of the subalpine level with a predominately ericaceous undergrowh comprising [Rhododendron ferrugineum] (dominant), [Vaccinium myrtillus], [Vaccinium uliginosum], [Calluna vulgaris], [Homogyne alpina], [Deschampsia flexuosa], [Lycopodium annotinum]."
G3.311,5,Outer Alpine alpenrose mountain pine forests,"[Pinus uncinata] forests occupying hard limestone plateaux of the outer Alps, in the Chablais, the Aravis, the Bauges, the Chartreuse, the Vercors, the Dévoluy in which the almost pure calcareous bedrock is covered by a thick layer of raw humus supporting an acidophilous undergrowth dominated by [Rhododendron ferrugineum], [Vaccinium myrtillus], [Vaccinium vitis-idaea], [Vaccinium uliginosum] accompanied by [Empetrum hermaphroditum], [Lycopodium selago], [Selaginella spinosa], [Cladonia rangiferina], [Homogyne alpina], [Bartsia alpina], [Astrantia minor]."
G3.312,5,Jura alpenrose mountain pine forests,"Subalpine [Pinus uncinata] forests of the western Jura, similar to the Alpine formations of unit G3.311. "
G3.313,5,Pyrenean alpenrose mountain pine forests,"[Pinus uncinata] forests of north facing  slopes (ubacs) of the Pyrenees developed on siliceous soils, or on decalcified soils in the calcareous ranges, in the more humid and snowy parts of the subalpine level, with a ground layer dominated by [Rhododendron ferrugineum] accompanied by [Vaccinium myrtillus], [Homogyne alpina], [Rosa alpina], [Deschampsia flexuosa], [Oxalis acetosella], [Juniperus nana], [Calluna vulgaris], [Dryopteris linneana], [Polystichum spinulosum], [Solidago virgaurea]. "
G3.32,4,Xerocline mountain pine forests,"[Pinus uncinata] forests of the inner Alps, of the western outer Alps and the Jura, and of Pyrenean sunny slopes (adrets), accompanied by a shrubby undergrowth in which [Rhododendron ferrugineum] is absent or rare, while [Juniperus nana], [Juniperus hemisphaerica], [Arctostaphylos uva-ursi], [Arctostaphylos alpinus], [Erica herbacea], [Rhododendron hirsutum], [Cotoneaster integerrimus], [Daphne striata], [Dryas octopetala] or [Polygala chamaebuxus] may be prominent. "
G3.321,5,Inner Alpine mountain pine forests,Subalpine or montane [Pinus uncinata]-dominated formations of the inner and intermediate Alps. 
G3.322,5,Outer Alpine juniper-bearberry mountain pine forests,"[Pinus uncinata] forests of the calcareous ranges of the western pre-Alps (cf. unit G3.311) and the Jura, on less evolved soils than those of unit G3.311, which do not allow the development of [Rhododendron ferrugineum] heaths."
G3.323,5,Ventoux mountain pine woods,"Spontaneous subsummital [Pinus uncinata] woods of the Ventoux, with [Juniperus nana], [Juniperus hemisphaerica] and [Arctostaphylos uva-ursi]. "
G3.324,5,Pyrenean adret mountain pine forests,"[Pinus uncinata]-dominated forests of sunny slopes (adrets) in the subalpine level of the Pyrenees, developed on both siliceous and calcareous substrates."
G3.3241,6,Speedwell mountain pine forests,"[Pinus uncinata] forests of siliceous Pyrenean sunny slopes (adrets), on schists, granites or gneises, with [Arctostaphylos uva-ursi], [Juniperus nana], [Juniperus hemisphaerica], [Calluna vulgaris], [Genista pilosa], [Cytisus purgans], [Cotoneaster integerrimus] and a predominantly acidophilous herb layer comprising [Deschampsia flexuosa], [Cruciata glabra], [Festuca eskia], [Veronica officinalis], [Silene rupestris], [Potentilla erecta], [Antennaria dioica]. "
G3.3242,6,Pyrenean bearberry mountain pine forests,"[Pinus uncinata] forests of calcareous Pyrenean  on sunny slopes (adrets) with [Arctostaphylos uva-ursi], [Juniperus nana], [Juniperus hemisphaerica], [Cotoneaster integerrimus], [Rhamnus alpinus], [Amelanchier vulgaris], [Dryas octopetala] and a predominantly calciphilous herb layer comprising [Festuca gautieri], [Valeriana montana], [Teucrium pyrenaicum], [Hepatica nobilis], [Hippocrepis comosa], [Polygala calcarea], [Sesleria caerulea], [Helectotrichon sedenense] ([Avena montana]), [Primula suaveolens]. "
G3.325,5,Pasqueflower mountain pine forests,"[Pinus uncinata] forests of steep calcareous ubacs (north facing  slopes) of the Pyrenees with very superficial soil and a mostly grassy herb layer comprising [Sesleria caerulea], [Festuca gautieri], [Pulsatilla alpina], [Valeriana montana], [Salix pyrenaica], [Hepatica nobilis], [Deschampsia flexuosa], [Pyrola uniflora], [Listera cordata]."
G3.326,5,Mountain pine forests of the Iberian Range,Isolated outposts of [Pinus uncinata]-dominated formations in the Northern and Southern Iberian Ranges. 
G3.3261,6,Urbion mountain pine forests,"[Pinus uncinata] forests of the Sierra de Urbion, usually associated with heaths of [Vaccinium myrtillus] and [Juniperus nana]. "
G3.3262,6,Gudar mountain pine forests,"[Pinus uncinata] forests of the Sierra de Gudar, in the Southern Iberian Range. "
G3.33,4,Mountain pine reforestation,[Pinus uncinata] plantations in or near the natural range of the species. 
G3.4,3,Scots pine woodland south of the taiga,"Forests of [Pinus sylvestris ssp. sylvestris] and [Pinus sylvestris ssp. hamata] of the Nemoral and Mediterranean zones and of their transitions to the Steppe zone. Included are, in particular, the forests of Scotland, of the Alpine system, of the Mediterranean peninsulas, of the lowlands of Central Europe, of the East European Nemoral zone and its adjacent wooded steppes, formed by [Pinus sylvestris ssp. sylvestris], as well as those of Anatolia, of the Caucacus and of Crimea, formed by [Pinus sylvestris ssp. hamata]. Excluded are the formations situated within the range of natural lowland occurrence of [Picea abies]."
G3.41,4,Caledonian forest,"Relict, indigenous Scots pine forests of endemic [Pinus sylvestris var. scotica], limited to the central and northeastern Grampians of Scotland. They are mostly open and have a ground layer usually rich in ericaceous species and mosses, in particular, [Hylocomium splendens], and often harbouring, together with abundant [Deschampsia flexuosa], [Goodyera repens], [Listera cordata], [Corallorhiza trifida], [Linnaea borealis], [Trientalis europaea], [Pyrola minor], [Moneses uniflora], [Orthilia secunda]. Accompanying, dominated, tree species include [Juniperus communis], [Sorbus aucuparia], [Betula pubescens], [Betula pendula], [Ilex aquifolium], [Populus tremula]."
G3.411,5,Heather Caledonian forest,[Pinus sylvestris var. scotica] forests with a heath-like ground cover of [Erica cinerea] and [Calluna vulgaris].
G3.412,5,Bilberry Caledonian forest,[Pinus sylvestris var. scotica] forests with a heath-like ground cover of [Vaccinium myrtillus] and [Vaccinium vitis-idaea].
G3.413,5,Moss Caledonian forest,"[Pinus sylvestris var. scotica] forests with a closed canopy and an understorey formed mostly by mosses, in particular [Scapania gracilis], [Diplophyllum albicans], [Thuidium tamariscinum] and the hepatic [Anastrepta orcadensis]."
G3.414,5,Woodrush Caledonian forest,"[Pinus sylvestris var. scotica] forests with a ground cover rich in grass-like species, in particular [Luzula pilosa], [Anthoxanthum odoratum], [Agrostis capillaris], [Agrostis canina], [Festuca ovina], together with [Vaccinium] spp. and bryophytes."
G3.415,5,Peatmoss Caledonian forest,"[Pinus sylvestris var. scotica] forests of damp hollows, with carpets of [Sphagnum] spp., [Molinia caerulea] and [Erica tetralix]."
G3.42,4,Middle European Scots pine forests,"Indigenous [Pinus sylvestris] forests of the lowlands of nemoral Europe, south of the main, boreal and boreonemoral, nonalpigenous, area of continuous natural lowland occurrence of [Picea abies], of adjacent wooded steppe regions, and of siliceous soils of the montane or collinar levels of the central European Hercynian ranges and the eastern Alpine system. Acidophilous mixed forests with vegetation of the alliance [Dicrano-Pinion] with [Festuca ovina] dominating in the herb layer."
G3.421,5,Subcontinental Scots pine forests,"Forests dominated by [Pinus sylvestris] of acid, often podsolised, sands of the plains and hills of middle Europe. Associated trees include [Quercus robur], [Quercus petraea], [Betula pendula], [Fagus sylvatica]; [Vaccinium myrtillus], [Calluna vulgaris], [Dicranum undulatum] are usually prominent in the ground layer, [Molinia caerulea] may be abundant in humid stands."
G3.4211,6,Central European Scots pine forests,"Main-range acidophilous [Pinus sylvestris] forests of diluvial sands of the northeastern plains and hills of Central Europe, where they reach their greatest dominance, and of the nemoral belt of the middle and southern Sarmatic region, in areas of less xericity or continentality than those occupied by the steppe woods of unit G3.423. They are distributed from Franconia and the inner Bohemian basin, through eastern Germany, to western and central Poland, extending, more locally, in areas of greater prevalence of steppe woods, to eastern Poland, Belarus, the northern Ukraine and Russia to the eastern confines of the Nemoral zone of western Eurasia. They are very similar to some taiga formations of which they often represent an outpost beyond the boreal and boreonemoral range of [Picea abies]; their separation from boreo-nemoral taiga pine woods of unit G3.B is generally arbitrary and one of regional convenience."
G3.42111,7,Subcontinental moss Scots pine forests,"Moss-rich acidophilous [Pinus sylvestris] forests of diluvial sands of the northeastern plains and hills of Central Europe and of the nemoral belt of the middle and southern Sarmatic region, with [Leucobryum glaucum], [Deschampsia flexuosa], [Hypnum cupressiforme]. "
G3.42112,7,Subcontinental lichen Scots pine forests,"Lichen-rich acidophilous [Pinus sylvestris] forests of diluvial sands of the northeastern plains and hills of Central Europe and of the nemoral belt of the middle and southern Sarmatic region, with [Cladonia silvatica], [Cladonia gracilis], [Cladonia furcata], [Ptilidium ciliare], [Polytrichum commune], [Molinia caerulea]."
G3.42113,7,Subcontinental moorgrass Scots pine forests,"Acidophilous [Pinus sylvestris] forests of humid podsols of the northeastern plains and hills of Central Europe and of the nemoral belt of the middle and southern Sarmatic region, with [Polytrichum commune] and [Molinia caerulea]."
G3.42114,7,Subcontinental saw-wort Scots pine forests,"Strongly pine-dominated facies of the mixed [Pinus sylvestris]-[Quercus robur]-[Quercus petraea] Central European and Sarmatic forests of unit G4.71, with [Carpinus betulus], [Corylus avellana], [Carex digitata], [Carex montana], [Melica nutans], [Serratula tinctoria], [Scorzonera humilis]."
G3.4212,6,Western lowland Scots pine forests,"Relict woods of indigenous [Pinus sylvestris] of coarse sands in enclaves of cold subcontinental climate west of the main range of the subcontinental pine and pine-oak woodland, as in the Pays de Bitche basin. "
G3.422,5,Hercynian Scots pine forests,"Montane acidophilous woods of indigenous [Pinus sylvestris] forming local, edaphic or microclimatic enclaves, particularly on sandstones, on blocks and in steep valleys in the beech belt of Hercynian ranges, and in sub-Hercynian collinar systems, usually with [Vaccinium myrtillus] or lichens. "
G3.4221,6,Eastern Hercynian Scots pine forests,"Indigenous acidophilous [Pinus sylvestris] enclave formations, in particular block woods and xeric slope woods, of the montane and submontane levels of the Erzgebirge, Fichtelgebirge, Sudeten, B”hmer Wald, Thüringer Wald."
G3.4222,6,Black Forest Scots pine forests,Indigenous [Pinus sylvestris] formations of the Black Forest. 
G3.4223,6,Vosges Scots pine forests,"Indigenous [Pinus sylvestris] formations of the mostly dry, acid sandstones of the Vosges, and of sandstone slabs capping rocky outcrops of the the Pays de Bitche. "
G3.4224,6,Luxembourg sandstone Scots pine forests,Indigenous [Pinus sylvestris] formations of Luxembourg sandstone outcrops. 
G3.4225,6,Pale hawkweed Scots pine forests,"Generally light [Pinus sylvestris] woods of deep-cut valleys of the Central Bohemian hills (valleys of the Vltava, the Otava and the Berounka rivers) and of southern Saxony, with the saxicolous [Hieracium pallidum]."
G3.4226,6,Lower Austrian block heath pine woods,Isolated [Pinus sylvestris] formations of granite blocks of the pre-Hercynian Waldviertel of Lower Austria.
G3.423,5,Western Eurasian steppe pine forests,[Pinus sylvestris] woods of the wooded steppe belt of western Eurasia and of areas with extreme continental local climates of middle Europe outside of the Alps.
G3.4231,6,Rhine steppe pine forests,"[Pinus sylvestris] woods of areas with extreme continental local climates of middle Europe outside of the Alps, in particular formations with [Pinus sylvestris var. haguenensis] of the Rhine Valley and adjacent hills (Haguenau, Vosges du Nord, southern Rhine Palatinate)."
G3.4232,6,Sarmatic steppe Scots pine forests,"Xerophilous [Pinus sylvestris] woods of the wooded steppe belt of the Sarmatic region of western Eurasia and of areas with extreme continental local climates of northeastern Central Europe and Eastern Europe, extending from northeastern and eastern Brandenburg and Mecklenburg-Vorpommern, north-central and eastern Poland in the west, through Podolia and the southern Russian plateaux, to Bashkiria."
G3.4233,6,Carpathian steppe Scots pine woods,"Local xerophile [Pinus sylvestris] steppe woods of sub-Pannonic low Carpathian spurs of southwestern and southeastern Slovakia and of the Slovakian inner Carpathian basins, with [Cornus mas], [Brachypodium pinnatum], [Melica nutans], [Luzula luzuloides], [Hypochoeris maculata], [Buglossoides purpurocaerulea], [Lathyrus niger], [Vicia dumetorum], [Melittis melissophyllum], [Digitalis grandiflora], [Viola collina], [Achillea distans], [Euphorbia epithymoides], [Orchis purpurea]."
G3.4234,6,Pannonic steppe Scots pine woods,"[Pinus sylvestris] sand steppe woods of the western Pannonic plain and its satellite basins, in particular, the Zahorie (Marchfeld) and the little Alföld."
G3.424,5,Baltic dune Scots pine woods,"[Pinus sylvestris]-dominated dune woods of the coasts of the southeastern Baltic, from the mouth of the Oder to the Gulf of Finland, with [Empetrum nigrum], [Moneses uniflora], [Linnaea borealis], [Listera cordata], [Goodyera repens], [Erica tetralix], [Calluna vulgaris]."
